fid,date,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDWI,class_eng,class_code,type_eng
k23_356,11/1/2022,1364.6604844511944,1413.183867615316,1137.944919657846,1759.7424254536727,2702.1275881365405,3016.671756335437,2977.906627228394,3296.4719801742726,2162.919018306818,1125.029898473099,4449.752738028617,1585.5959709009503,Arboricult,6,Vineyards
k23_330,11/1/2022,1373.305686,1496.0136810602824,1833.969217614365,1996.7387772552374,2331.756306113724,2559.041043180847,2389.906370243694,2693.2672082086365,3412.8969645147504,2466.7712697734078,1208.777682770415,-1783.226165,Arboricult,6,Almond_tre
k23_338,11/1/2022,1720.7081012658232,1876.728354,2186.2979746835445,2329.4545569620263,2702.360253164557,2966.719873417722,2800.989367088607,3118.3031645569613,3443.193924050634,2581.332151898734,1331.825189873418,-990.1155696,Arboricult,6,Almond_tre
k23_342,11/1/2022,1527.537406569293,1764.6897757663037,2205.9251868614137,2381.2450798875407,2756.196735925392,3035.0499897140508,2906.0506754440116,3168.058629911541,3607.467324967428,2600.5825961736273,1384.6174998285678,-1150.516492,Arboricult,6,Almond_tre
k23_343,11/1/2022,1298.6595997622353,1372.042302357837,1646.7158708143456,1841.4156924905888,2129.0359619575993,2346.532098276204,2162.664057856153,2452.9663166237383,2915.202595601348,2048.861006538538,1361.312660986725,-1507.145136,Arboricult,6,Almond_tre
k23_344,11/1/2022,1547.3962558502342,1674.5585023400931,2086.170826833073,2164.150156,2592.1177847113886,2900.7663806552264,2746.6224648985963,3121.8069422776907,3328.753120124805,2365.7172386895477,1384.9890795631825,-1002.236739,Arboricult,6,Almond_tre
k23_348,11/1/2022,1263.1353492884864,1280.5321798188875,1378.4631306597676,1768.8120957309188,2434.833926,2790.6835381630017,2746.9443725743863,3118.910090556275,2613.422703751617,1595.986093143597,3240.4007115135837,180.6275873221216,Arboricult,6,Almond_tre
k23_350,11/1/2022,1511.7742492564516,1677.3933288560552,1998.2827720745786,2253.4490389842977,2888.932105279989,3252.3250823499316,3148.529118296076,3488.256867824361,3519.5622501519065,2523.6659311138833,2236.939972496722,-589.3591416,Arboricult,6,Almond_tre
k23_371,11/1/2022,1212.6221169867579,1108.9683416644739,1096.650618258353,1348.1070770849774,1999.7767254231342,2339.6572831710946,2312.5886170306053,2697.220819082696,2406.832061738139,1468.3846356222045,3513.9930719985955,-125.2776462,Arboricult,6,Almond_tre
k23_372,11/1/2022,1234.004186,1177.6466512702077,1207.1159064665128,1518.507072748268,2154.4709872979215,2510.789260969977,2451.0225173210165,2888.0844399538105,2462.3954965357966,1481.332996535797,3338.9184468822177,-1.752453811,Arboricult,6,Almond_tre
k23_380,11/1/2022,1408.2751382462473,1502.5486965353791,1701.684572847308,2042.2438776661772,2671.0093668886125,3024.758379415415,2913.5049091524647,3285.216341270736,2931.147387428054,1901.6165218372644,2451.5141631869983,-98.95214987,Arboricult,6,Almond_tre
